case 1 results：
| sub box | particle number | time(s) |
| (1,1) |   1000 |      1.066556 |
| (1,2) |    100 |      0.134820 |
| (1,3) |   1000 |      1.188627 |
| (1,4) |    100 |      0.146349 |
| (1,5) |   1000 |      1.136402 |
| (2,1) |    100 |      0.106126 |
| (2,2) |   1000 |      1.061128 |
| (2,3) |    100 |      0.136761 |
| (2,4) |   1000 |      1.040952 |
| (2,5) |    100 |      0.112636 |
| (3,1) |   1000 |      1.052932 |
| (3,2) |    100 |      0.142974 |
| (3,3) |   1000 |      1.101337 |
| (3,4) |    100 |      0.106235 |
| (3,5) |   1000 |      1.102326 |
| (4,1) |    100 |      0.100029 |
| (4,2) |   1000 |      1.096642 |
| (4,3) |    100 |      0.151039 |
| (4,4) |   1000 |      1.067755 |
| (4,5) |    100 |      0.088586 |
| (5,1) |   1000 |      1.185439 |
| (5,2) |    100 |      0.094593 |
| (5,3) |   1000 |      1.081790 |
| (5,4) |    100 |      0.129945 |
| (5,5) |   1000 |      1.029172 |
