case 2 results：
| sub box | particle # | time(s) |
|       0 |    557 |      0.663676 |
|       1 |    569 |      0.715873 |
|       2 |    572 |      0.705705 |
|       3 |    573 |      0.726376 |
|       4 |    569 |      0.629385 |
|       5 |    576 |      0.782273 |
|       6 |    548 |      0.679073 |
|       7 |    568 |      0.721663 |
|       8 |    555 |      0.658443 |
|       9 |    556 |      0.825328 |
|      10 |    580 |      0.703553 |
|      11 |    566 |      0.777934 |
|      12 |    575 |      0.531449 |
|      13 |    581 |      0.618264 |
|      14 |    558 |      0.725652 |
|      15 |    561 |      0.607517 |
|      16 |    598 |      0.639974 |
|      17 |    543 |      0.660486 |
|      18 |    557 |      0.717228 |
|      19 |    573 |      0.747919 |
|      20 |    604 |      0.555369 |
|      21 |    554 |      0.676859 |
|      22 |    598 |      0.603428 |
|      23 |    568 |      0.608517 |
|      24 |    551 |      0.717310 |
